X,Y,xcoord,ycoord,imb_nbr_logloc,imb_type,addr_numero,addr_nom_voie
-1.54762071025102,47.228219840548,-172280.349406268,5979405.24386923,2,PA,35,Rue Général de Sonis,
-1.55698529671631,47.2307598663973,-173322.810403074,5979821.63255196,9,IM,2,Rue François Bruneau,
-1.5701575631324,47.222701882837,-174789.140393106,5978500.7489372,1,PA,24,Rue de Miséricorde,
-1.55140106939189,47.2107618975461,-172701.177060845,5976543.88756742,12,IM,21,Chaussée de la Madeleine,
-1.56311457278816,47.2196701724339,-174005.118294324,5978003.83581748,25,IM,8,Rue Joseph Caillé,
-1.5468597544,47.2264822732647,-172195.640188416,5979120.41442221,2,PA,2,Rue Henri Lasne,
-1.55917884929084,47.2248030063549,-173566.995558698,5978845.15069318,2,PA,69,Rue de Bel Air,
-1.54811710252555,47.2297784255824,-172335.607541503,5979660.74172604,1,PA,6,Avenue Maréchal Ney,
-1.54572916020397,47.2170987441855,-172069.78301822,5977582.38760939,8,IM,16,Allée Commandant Charcot,
-1.55145409784922,47.2309368280887,-172707.080161713,5979850.64278202,1,PA,47,Rue Fontaine de Barbin,
-1.57482869994153,47.2135356464934,-175309.128964125,5976998.44198413,1,PA,5,Boulevard Paul Langevin,
-1.56619740879255,47.227673611822,-174348.298028531,5979315.70271828,1,PA,23,Rue Alphonse Daudet,
-1.55852720442113,47.2296531258699,-173494.454783625,5979640.20114588,1,PA,26,Rue Cochard Polenne,
-1.55901347287135,47.2169009861977,-173548.585939892,5977549.9766046,6,IM,6,Rue Pierre Chéreau,
-1.5719726067221,47.226011890716,-174991.190121279,5979043.3089126,2,PA,8,Rue du Douet Garnier,
-1.5442864893447,47.2274580014308,-171909.185632784,5979280.3587993,5,IM,16,Rue Desaix,
-1.57163062693335,47.2148162742903,-174953.121105334,5977208.31579907,1,PA,34,rue de gigant,
-1.57270604110094,47.2217535834696,-175072.835662862,5978345.31467954,1,PA,5,rue alexandre dumas,
